,BATCH_SIZE_16,BATCH_SIZE_32,BATCH_SIZE_64,BATCH_SIZE_128,BATCH_SIZE_256,LEARNING_RATE_0.001,LEARNING_RATE_0.0005,LEARNING_RATE_0.0002,LEARNING_RATE_0.0001,LEARNING_RATE_5e-05,EMB_SIZE_64,EMB_SIZE_128,EMB_SIZE_256,EMB_SIZE_512,EMB_SIZE_1024,ATTN_HEADS_1,ATTN_HEADS_2,ATTN_HEADS_4,ATTN_HEADS_8,ATTN_HEADS_16,ENC_LAYERS_1,ENC_LAYERS_2,ENC_LAYERS_3,ENC_LAYERS_4,ENC_LAYERS_6,DEC_LAYERS_1,DEC_LAYERS_2,DEC_LAYERS_3,DEC_LAYERS_4,DEC_LAYERS_6
ATTN_HEADS_16,0.0,0.0,0.0020813052706984505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659,0.659,0.659,0.659,-0.659,0.0,0.024172144466380507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ENC_LAYERS_1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.659,0.659,0.659,0.659,0.659,0.0,0.0,0.0,0.0,0.0
ENC_LAYERS_2,0.0,0.0,0.0022273878279724674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013563430602040271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024172144466380507,0.659,-0.659,0.659,0.659,0.659,0.0,0.021739636568368904,0.0,0.0,-0.003906460076024983
ENC_LAYERS_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659,0.659,-0.659,0.659,0.659,0.0,0.0,0.0,0.0,0.0
ENC_LAYERS_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005136338568631141,0.0,0.0,0.0,0.659,0.659,0.659,-0.659,0.659,0.0,0.0,0.0,0.0,0.0
ENC_LAYERS_6,0.0,0.0,0.0,0.0,0.0012565230715161884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659,0.659,0.659,0.659,-0.659,0.0,-0.0009245362145975216,0.0,0.0,0.005541905300896537
DEC_LAYERS_1,0.0,0.0,0.0,0.0,0.025356837202503223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.659,0.659,0.659,0.659,0.659
DEC_LAYERS_2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013155097948675616,0.0,0.0,0.0,0.0,0.0,0.021739636568368904,0.0,0.0,-0.0009245362145975216,0.659,-0.659,0.659,0.659,0.659
DEC_LAYERS_3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659,0.659,-0.659,0.659,0.659
DEC_LAYERS_4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659,0.659,0.659,-0.659,0.659
DEC_LAYERS_6,0.0,0.0,-0.004260953981432337,0.0,0.0,0.0,0.0,0.0,0.0,-0.0011549107876409254,-0.0037900343732463534,-0.0021871943255316337,0.0,0.0,0.021202861393025442,0.0,0.0,0.0,0.0,0.0,0.0,-0.003906460076024983,0.0,0.0,0.005541905300896537,0.659,0.659,0.659,0.659,-0.6615235526812105
