BATCH_SIZE,LEARNING_RATE,EMB_SIZE,ATTN_HEADS,ENC_LAYERS,DEC_LAYERS,Final_Accuracy,Final_Loss,Execution_Time_Seconds
64,1e-06,192,4,8,1,0.863453,1.536478,96.88
64,1e-06,768,1,1,4,0.878904,1.15044,559.97
64,1e-06,96,1,1,1,0.612807,3.559188,35.56
64,1e-06,256,16,3,8,0.871905,1.29476,264.79
64,1e-06,384,1,2,8,0.877574,1.33106,378.83
64,1e-06,1024,8,6,8,0.866575,1.629447,2289.35
64,1e-06,32,16,2,3,0.318089,6.451347,64.3
64,1e-06,128,2,5,1,0.852362,2.228404,66.22
64,1e-06,384,4,1,4,0.869784,1.194473,195.19
64,1e-06,1024,4,2,8,0.863969,1.345253,1857.77
64,1e-06,16,4,2,2,0.170781,8.157195,50.4
64,1e-06,128,16,3,8,0.865116,1.52459,150.97
64,1e-06,192,1,6,5,0.868296,1.361612,150.78
64,1e-06,16,16,2,4,0.192596,7.555072,72.89
64,1e-06,256,8,4,2,0.869784,1.279551,108.92
64,1e-06,512,16,5,3,0.869458,1.341256,364.8
64,1e-06,768,1,6,3,0.870533,1.31499,780.88
64,1e-06,32,16,6,6,0.629221,5.403873,131.38
64,1e-06,32,2,5,6,0.567904,5.131152,133.01
64,1e-06,64,8,5,5,0.826869,2.904379,113.38
64,1e-06,64,2,2,8,0.838613,2.714821,134.63
64,1e-06,512,8,3,1,0.872403,1.204797,179.92
64,1e-06,32,4,1,3,0.418535,6.284738,57.47
64,1e-06,48,4,2,8,0.7888,3.561466,138.12
64,1e-06,96,8,6,5,0.859608,1.93162,132.77
64,1e-06,512,16,3,3,0.871038,1.262888,302.08
64,1e-06,1024,16,3,5,0.867685,1.301204,1348.17
64,1e-06,96,2,5,6,0.862441,1.899756,133.21
64,1e-06,256,4,4,2,0.871048,1.285115,110.08
64,1e-06,512,2,2,3,0.873986,1.219641,281.18
64,1e-06,1024,1,1,3,0.870578,1.164158,732.96
96,1e-06,1024,1,4,4,0.882613,1.260426,1189.85
96,1e-06,512,16,6,2,0.871238,1.305416,319.94
96,1e-06,512,8,3,6,0.868905,1.553482,444.92
96,1e-06,32,2,8,6,0.427472,5.989491,90.84
96,1e-06,64,1,2,8,0.787382,3.07878,92.24
96,1e-06,256,1,3,1,0.868979,1.509151,60.93
96,1e-06,768,1,3,2,0.876754,1.232856,419.02
96,1e-06,48,8,3,1,0.21542,6.796099,34.25
96,1e-06,64,2,8,4,0.775718,3.331003,88.0
96,1e-06,96,1,3,5,0.847815,2.159121,77.54
96,1e-06,768,16,5,8,0.866209,1.317249,1215.65
96,1e-06,256,2,3,5,0.86994,1.404373,143.74
96,1e-06,768,4,1,5,0.865266,1.329572,625.94
96,1e-06,16,4,6,2,0.182048,8.359719,61.68
96,1e-06,192,8,2,1,0.8618,1.750294,39.64
96,1e-06,192,16,2,6,0.869525,1.330965,119.75
96,1e-06,256,2,5,1,0.867597,1.423374,83.0
96,1e-06,256,16,5,4,0.867661,1.374899,145.86
96,1e-06,384,1,3,4,0.875543,1.458185,222.33
96,1e-06,32,8,3,5,0.434517,6.374764,68.22
128,1e-06,32,16,1,6,0.394138,6.765784,55.26
128,1e-06,48,8,4,3,0.400923,6.09202,41.02
128,1e-06,192,4,3,4,0.867793,1.414311,82.41
128,1e-06,192,2,1,2,0.862163,1.670661,44.18
128,1e-06,512,4,8,5,0.868558,1.337783,521.79
128,1e-06,192,8,2,2,0.863708,1.667555,50.91
128,1e-06,256,4,3,8,0.869396,1.399251,201.93
128,1e-06,16,8,2,5,0.186417,8.406305,52.41
128,1e-06,256,2,8,3,0.869181,1.408388,145.94
128,1e-06,192,1,2,5,0.866882,1.424796,91.64
128,1e-06,192,16,8,4,0.863893,1.519505,123.86
128,1e-06,384,1,1,4,0.877001,1.206382,173.02
128,1e-06,512,1,1,8,0.880046,1.349836,479.78
128,1e-06,512,4,2,6,0.869482,1.280147,395.17
128,1e-06,16,1,6,8,0.183949,7.919279,83.93
128,1e-06,256,1,4,4,0.87227,1.349055,124.91
128,1e-06,384,1,6,4,0.870543,1.321418,259.43
128,1e-06,16,8,5,3,0.141736,8.220004,48.7
128,1e-06,16,1,8,8,0.120369,8.355169,89.15
128,1e-06,128,16,3,6,0.859694,1.899217,74.2
128,1e-06,192,8,2,8,0.870489,1.429938,131.7
128,1e-06,384,8,6,5,0.869577,1.327172,295.13
128,1e-06,48,1,8,2,0.33745,5.918126,55.62
128,1e-06,96,2,3,2,0.620307,3.639174,36.2
128,1e-06,96,1,2,5,0.82565,2.488061,52.55
128,1e-06,16,2,4,3,0.170592,8.81937,48.56
128,1e-06,64,4,4,1,0.169755,6.341602,34.25
128,1e-06,192,1,4,2,0.866963,1.636513,63.11
128,1e-06,256,16,6,4,0.866243,1.399774,154.91
128,1e-06,384,1,5,2,0.871038,1.333225,176.58
192,1e-06,64,4,1,3,0.428669,6.054292,23.0
192,1e-06,128,8,1,1,0.514259,4.840082,16.03
192,1e-06,128,2,1,4,0.791447,2.646653,36.83
192,1e-06,192,1,1,1,0.695294,3.344181,26.66
192,1e-06,32,8,4,3,0.170077,7.618186,36.12
192,1e-06,512,16,5,2,0.869477,1.822956,259.9
192,1e-06,1024,1,6,1,0.874038,1.460656,803.65
192,1e-06,16,1,1,3,0.00978,9.32315,25.94
192,1e-06,32,2,3,8,0.403551,6.732343,51.11
192,1e-06,192,1,6,4,0.865275,1.462678,91.68
192,1e-06,768,2,3,5,0.871283,1.595065,682.97
192,1e-06,768,16,6,1,0.871785,1.704367,460.73
192,1e-06,16,2,3,6,0.16729,8.492765,40.39
192,1e-06,32,4,4,8,0.301883,6.995123,54.45
192,1e-06,192,2,8,2,0.860322,1.806655,77.44
192,1e-06,96,16,1,8,0.785585,2.936264,60.02
192,1e-06,768,4,1,8,0.868639,1.480987,882.0
192,1e-06,48,16,4,2,0.31292,6.956404,29.25
192,1e-06,48,16,1,2,0.17946,7.303503,21.55
192,1e-06,64,4,1,1,0.16086,7.211044,18.0
192,1e-06,96,2,8,1,0.481451,5.055121,35.28
192,1e-06,128,4,4,3,0.816191,2.536575,39.67
192,1e-06,192,4,2,3,0.85663,1.632391,57.72
192,1e-06,512,8,6,3,0.868783,1.255165,331.32
192,1e-06,64,8,5,6,0.539118,4.746751,55.36
192,1e-06,128,8,4,6,0.848681,2.14589,59.36
192,1e-06,256,1,4,1,0.858806,1.803817,64.07
256,1e-06,64,1,2,2,0.170521,6.820906,21.4
256,1e-06,256,4,4,4,0.868899,1.456269,116.93
256,1e-06,256,8,1,8,0.865881,1.378544,160.79
256,1e-06,512,1,4,2,0.873117,1.307419,224.78
256,1e-06,32,1,8,8,0.257339,7.327976,57.23
256,1e-06,96,2,3,6,0.717107,3.496636,48.24
256,1e-06,192,16,5,5,0.858474,1.773944,99.32
256,1e-06,1024,16,6,6,0.857982,1.372443,1600.28
256,1e-06,64,4,8,4,0.463282,5.009748,38.12
256,1e-06,384,2,3,3,0.870492,1.261792,158.55
256,1e-06,32,4,2,2,0.080255,8.343088,18.46
256,1e-06,192,4,1,4,0.845121,1.826261,59.48
256,1e-06,192,2,8,1,0.826286,2.606785,65.78
256,1e-06,768,2,6,5,0.864964,1.348843,837.35
256,1e-06,16,2,5,4,0.162657,8.904614,30.4
256,1e-06,64,2,2,1,0.169755,7.375286,14.94
256,1e-06,16,1,4,4,0.022384,9.307053,28.77
256,1e-06,32,4,8,6,0.258837,7.326777,45.21
256,1e-06,192,8,6,5,0.861914,1.672301,107.79
256,1e-06,256,16,8,6,0.864064,1.457986,185.65
256,1e-06,256,2,2,5,0.868114,1.399833,114.88
256,1e-06,512,4,2,6,0.866517,1.286805,373.65
256,1e-06,768,1,3,8,0.87182,1.396067,974.0
256,1e-06,64,4,4,2,0.331669,6.601078,25.34
256,1e-06,96,1,5,8,0.783161,3.061921,62.88
256,1e-06,512,1,3,6,0.865787,1.304533,395.84
512,1e-06,96,2,4,2,0.263737,6.424864,21.57
512,1e-06,256,16,6,1,0.714364,3.270287,72.24
512,1e-06,64,1,8,1,0.03927,8.317505,18.68
512,1e-06,96,2,4,1,0.234105,7.356362,18.44
